year,player_id,name,country,goals,assists,yellow_cards,red_cards,minutes_played,img_url
2017,251079,Ertuğrul Ersoy,Türkiye,1,0,7,1,1661,https://img.a.transfermarkt.technology/portrait/header/251079-1725459653.jpg?lm=1
2017,320141,Çağlar Söyüncü,Türkiye,1,0,5,1,2054,https://img.a.transfermarkt.technology/portrait/header/320141-1728391611.JPG?lm=1
2017,386726,Yusuf Yazıcı,Türkiye,7,9,9,1,2753,https://img.a.transfermarkt.technology/portrait/header/386726-1728417949.png?lm=1
2017,58093,Andriy Novak,Ukraine,0,0,0,1,401,https://img.a.transfermarkt.technology/portrait/header/58093-1641833557.png?lm=1
2017,58252,Sergiy Siminin,Ukraine,1,0,10,1,2383,https://img.a.transfermarkt.technology/portrait/header/58252-1637237664.png?lm=1
2017,58402,Maksym Kovalyov,Ukraine,0,0,2,1,1098,https://img.a.transfermarkt.technology/portrait/header/58402-1611342997.png?lm=1
2017,91479,Sergiy Yavorskyi,Ukraine,2,0,6,1,1469,https://img.a.transfermarkt.technology/portrait/header/91479-1641743558.png?lm=1
2017,97567,Roman Bezus,Ukraine,2,0,3,1,490,https://img.a.transfermarkt.technology/portrait/header/97567-1608753587.jpg?lm=1
2017,207074,Oleksandr Andriyevskyi,Ukraine,5,1,13,1,2240,https://img.a.transfermarkt.technology/portrait/header/207074-1726135280.png?lm=1
2017,242279,Oleksiy Dytyatyev,Ukraine,0,0,3,1,1111,https://img.a.transfermarkt.technology/portrait/header/242279-1662314849.png?lm=1
2017,343492,Oleg Kozhushko,Ukraine,0,0,1,1,75,https://img.a.transfermarkt.technology/portrait/header/343492-1723572951.png?lm=1
2017,57834,Maximiliano Pereira,Uruguay,3,2,10,2,2088,https://img.a.transfermarkt.technology/portrait/header/57834-1542105435.png?lm=1
2017,76799,Miguel Britos,Uruguay,2,2,7,1,1825,https://img.a.transfermarkt.technology/portrait/header/76799-1408609079.jpg?lm=1
2017,179757,Maximiliano Olivera,Uruguay,0,1,4,1,1174,https://img.a.transfermarkt.technology/portrait/header/179757-1486637699.jpg?lm=1
2017,39381,Gareth Bale,Wales,6,6,3,1,1410,https://img.a.transfermarkt.technology/portrait/header/39381-1658665343.jpg?lm=1
2017,65976,Hal Robson-Kanu,Wales,4,0,4,1,1300,https://img.a.transfermarkt.technology/portrait/header/65976-1464944267.jpg?lm=1
2017,67355,Ashley Williams,Wales,2,3,10,1,3769,https://img.a.transfermarkt.technology/portrait/header/67355-1456301949.jpg?lm=1
2018,67815,Rafik Halliche,Algeria,2,0,3,1,1665,https://img.a.transfermarkt.technology/portrait/header/67815-1537360335.jpg?lm=1
2018,118287,Rachid Ghezzal,Algeria,2,2,4,1,1031,https://img.a.transfermarkt.technology/portrait/header/118287-1729518411.jpg?lm=1
2018,233750,Hicham Belkaroui,Algeria,0,1,3,1,888,https://img.a.transfermarkt.technology/portrait/header/233750-1506091849.jpg?lm=1
