year,player_id,name,country,goals,assists,yellow_cards,red_cards,minutes_played,img_url
2022,480267,Ronald Araujo,Uruguay,2,0,7,0,2573,https://img.a.transfermarkt.technology/portrait/header/480267-1701118351.jpg?lm=1
2022,546543,Darwin Núñez,Uruguay,25,4,6,1,2526,https://img.a.transfermarkt.technology/portrait/header/546543-1681827179.jpg?lm=1
2022,704545,Ibrokhimkhalil Yuldoshev,Uzbekistan,3,2,8,0,1750,https://img.a.transfermarkt.technology/portrait/header/704545-1660978647.png?lm=1
2022,630015,Khozhimat Erkinov,Uzbekistan,0,1,4,0,1191,https://img.a.transfermarkt.technology/portrait/header/630015-1662566726.png?lm=1
2022,294525,Otabek Shukurov,Uzbekistan,0,0,6,0,944,https://img.a.transfermarkt.technology/portrait/header/294525-1712924990.png?lm=1
2022,358166,Eldor Shomurodov,Uzbekistan,3,1,1,0,444,https://img.a.transfermarkt.technology/portrait/header/358166-1661514115.jpg?lm=1
2022,75942,Tomás Rincón,Venezuela,0,2,7,0,2491,https://img.a.transfermarkt.technology/portrait/header/75942-1661350808.jpg?lm=1
2022,308371,Mikel Villanueva,Venezuela,0,0,4,0,2056,https://img.a.transfermarkt.technology/portrait/header/308371-1573486873.jpg?lm=1
2022,378293,Yangel Herrera,Venezuela,0,2,6,0,1717,https://img.a.transfermarkt.technology/portrait/header/378293-1719230693.jpg?lm=1
2022,271256,Jhonder Cádiz,Venezuela,3,2,3,0,1144,https://img.a.transfermarkt.technology/portrait/header/271256-1618690320.jpg?lm=1
2022,466336,Nahuel Ferraresi,Venezuela,0,0,5,1,1066,https://img.a.transfermarkt.technology/portrait/header/466336-1623405683.jpg?lm=1
2022,373714,Wuilker Fariñez,Venezuela,0,0,0,0,969,https://img.a.transfermarkt.technology/portrait/header/373714-1495446302.jpg?lm=1
2022,178400,Wilker Ángel,Venezuela,0,0,3,0,900,https://img.a.transfermarkt.technology/portrait/header/178400-1605978525.png?lm=1
2022,211251,Darwin Machís,Venezuela,2,2,2,0,713,https://img.a.transfermarkt.technology/portrait/header/211251-1719836851.jpg?lm=1
2022,72643,Yonathan Del Valle,Venezuela,1,1,2,0,567,https://img.a.transfermarkt.technology/portrait/header/72643-1680541917.png?lm=1
2022,308256,Andrés Ponce,Venezuela,0,0,1,0,494,https://img.a.transfermarkt.technology/portrait/header/308256-1680241284.png?lm=1
2022,192765,Ben Davies,Wales,3,1,5,0,3460,https://img.a.transfermarkt.technology/portrait/header/192765-1668520095.jpg?lm=1
2022,392771,Ethan Ampadu,Wales,0,2,10,0,2470,https://img.a.transfermarkt.technology/portrait/header/392771-1658829697.jpg?lm=1
2022,319301,Daniel James,Wales,4,3,7,1,1944,https://img.a.transfermarkt.technology/portrait/header/319301-1668520687.jpg?lm=1
2022,203026,Danny Ward,Wales,0,0,0,0,1800,https://img.a.transfermarkt.technology/portrait/header/203026-1668070552.jpg?lm=1
2022,404384,Rabbi Matondo,Wales,4,5,2,0,1790,https://img.a.transfermarkt.technology/portrait/header/404384-1640709163.jpg?lm=1
2022,214666,Connor Roberts,Wales,1,1,2,0,1675,https://img.a.transfermarkt.technology/portrait/header/214666-1668520245.jpg?lm=1
